iter	Passed	Remaining
717	1822	715
718	1825	713
719	1828	711
720	1830	708
721	1833	706
722	1836	703
723	1839	701
724	1842	698
725	1845	696
726	1848	694
727	1850	691
728	1853	689
729	1856	686
730	1858	684
731	1861	681
732	1863	678
733	1866	676
734	1868	673
735	1871	671
736	1873	668
737	1876	666
738	1879	663
739	1882	661
740	1884	658
741	1887	656
742	1890	653
743	1892	651
744	1895	648
745	1898	646
746	1901	643
747	1903	641
748	1906	639
749	1909	636
750	1912	634
751	1915	631
752	1917	629
753	1920	626
754	1923	624
755	1926	621
756	1929	619
757	1932	616
758	1935	614
759	1939	612
760	1942	609
761	1945	607
762	1947	605
763	1950	602
764	1953	600
765	1956	597
766	1959	595
767	1962	592
768	1965	590
769	1968	587
770	1971	585
771	1973	582
772	1976	580
773	1979	577
774	1982	575
775	1985	573
776	1988	570
777	1991	568
778	1995	566
779	1998	563
780	2001	561
781	2004	558
782	2007	556
783	2009	553
784	2012	551
785	2015	548
786	2018	546
787	2021	543
788	2024	541
789	2027	538
790	2030	536
791	2033	533
792	2036	531
793	2038	528
794	2042	526
795	2045	524
796	2047	521
797	2050	519
798	2053	516
799	2056	514
800	2059	511
801	2062	509
802	2065	506
803	2067	504
804	2070	501
805	2073	499
806	2076	496
807	2079	494
808	2082	491
809	2085	489
810	2088	486
811	2091	484
812	2094	481
813	2097	479
814	2100	476
815	2103	474
816	2106	471
817	2108	469
818	2111	466
819	2115	464
820	2117	461
821	2120	459
822	2123	456
823	2126	454
824	2129	451
825	2133	449
826	2136	446
827	2139	444
828	2142	441
829	2145	439
830	2147	436
831	2150	434
832	2153	431
833	2156	429
834	2159	426
835	2163	424
836	2166	421
837	2169	419
838	2173	417
839	2176	414
840	2180	412
841	2183	409
842	2186	407
843	2188	404
844	2192	402
845	2195	399
846	2197	397
847	2200	394
848	2203	391
849	2206	389
850	2208	386
851	2211	384
852	2214	381
853	2216	378
854	2219	376
855	2221	373
856	2224	371
857	2226	368
858	2229	366
859	2232	363
860	2235	360
861	2238	358
862	2240	355
863	2243	353
864	2245	350
865	2248	347
866	2251	345
867	2253	342
868	2256	340
869	2259	337
870	2262	335
871	2264	332
872	2267	329
873	2270	327
874	2273	324
875	2276	322
876	2278	319
877	2281	317
878	2284	314
879	2287	311
880	2290	309
881	2292	306
882	2295	304
883	2297	301
884	2300	298
885	2302	296
886	2305	293
887	2308	291
888	2311	288
889	2313	285
890	2316	283
891	2319	280
892	2321	278
893	2324	275
894	2326	272
895	2330	270
896	2332	267
897	2335	265
898	2338	262
899	2341	260
900	2343	257
901	2346	254
902	2349	252
903	2351	249
904	2354	247
905	2357	244
906	2359	241
907	2362	239
908	2365	236
909	2367	234
910	2370	231
911	2373	229
912	2376	226
913	2379	223
914	2382	221
915	2384	218
916	2387	216
917	2390	213
918	2393	210
919	2395	208
920	2398	205
921	2401	203
922	2404	200
923	2406	197
924	2409	195
925	2411	192
926	2414	190
927	2416	187
928	2419	184
929	2421	182
930	2423	179
931	2426	177
932	2428	174
933	2431	171
934	2434	169
935	2436	166
936	2439	164
937	2441	161
938	2444	158
939	2446	156
940	2449	153
941	2452	150
942	2454	148
943	2457	145
944	2459	143
945	2462	140
946	2464	137
947	2467	135
948	2470	132
949	2472	130
950	2475	127
951	2477	124
952	2480	122
953	2482	119
954	2485	117
955	2487	114
956	2490	111
957	2493	109
958	2496	106
959	2498	104
960	2501	101
961	2503	98
962	2505	96
963	2508	93
964	2510	91
965	2513	88
966	2515	85
967	2518	83
968	2520	80
969	2523	78
970	2525	75
971	2528	72
972	2530	70
973	2533	67
974	2535	65
975	2537	62
976	2540	59
977	2542	57
978	2545	54
979	2547	51
980	2549	49
981	2552	46
982	2554	44
983	2557	41
984	2559	38
985	2561	36
986	2564	33
987	2566	31
988	2568	28
989	2571	25
990	2573	23
991	2575	20
992	2578	18
993	2580	15
994	2582	12
995	2585	10
996	2587	7
997	2589	5
998	2592	2
999	2594	0
